Tanggal Posting;Nama Tampilan;Username;Teks Tweet;Retweets;Likes;Total Interaksi
01/01/2021;✰ sasa;@suklogys;tl panas banget kayak jakarta kalo siang siang :D;0;0;0
02/01/2021;@aafffrrrr;@aafffrrrr;Warga jakarta, ini emang hari ini panas banget atau w doang yg ngerasa panas;0;0;0
02/01/2021;AntiDepressan;@xanax_xanaxian;Serius panas dan lembab gt jd cepet gerah, cma msh tajeman panasny jakarta siih.. :);0;0;0
03/01/2021;♡⁹ junkyu jeongwoo birthday event @ jakarta;@junkyuhappy;makin banyak org repot huhu gerah liatnya;0;1;1
03/01/2021;Ini Budi;@budskiy;Another new resolution: pindah kosan yg ber-AC dan lebih bersih. Udah terlalu lama di kosan yg sekarang dan aku sudah menyerah dengan cuaca Jakarta saat sedang gerah. Also I get the feeling that maybe moving to a new place would be the first step to moving forward;0;1;1
03/01/2021;Emmanuel;@Imanuel46193732;Gersang begitu,cuma bebatuan penghijauannya kurang,bisa panas banget,kalau aku sih gak betah, Gak bakalan betah aku mah aunty, Mendingan di Jakarta punya duit 20k ajah bisa makan soto ayam, Banyak pohonan juga;0;0;0
03/01/2021;breezfez;@breezfez;Dikira alergi bersin2 ini hilang kalo udah kena cuaca panas Jakarta, taunya disuguhin kosan yang debuan. Atuh apolo ga abis2;0;0;0
03/01/2021;@N44P23;@N44P23;di daerah ku jakarta jg 27° tp ttp gerah bagi aku, apa udaranya beda ya;0;0;0
04/01/2021;Annchi;@kuasaiku;ㅤ Kalau di Jakarta, hampir setiap hari disapa hawa panas, bikin gerah. Cuaca yang teduh sangat digemari Rindu, udara Bandung yang seperti ini akan sangat ia rindukan. Belum lagi tempat disini yang sedap 'tuk di pandang, senang dapat melihat gedung-gedung yang berciri khas. ㅤ;0;0;0
04/01/2021;ً;@yonkT__T;YA ALLAH SAMA KAYAK JAKARTA DAN TANGERANG KOTA. PANAS BANGET NANGIS.;0;0;0
04/01/2021;buaci;@acipanser;remote kontrol, panas banget jakarta, AC-nya dibikin 18 derajat;0;0;0
04/01/2021;yolk;@JaehyunJakseI;jakarta panas banget ih ya Allah;0;0;0
04/01/2021;Tadja;@tadja25;Orang2 miskin di jakarta sedang kehilangan sosok pemimpin. Maka di situ bu Risma masuk. Di situ jg anies akan gerah & gelisah. Peran yg selama ini dia abaikan, diambil dg senang hati olh bu Risma. Maka hati rakyat kecil Jakarta akan jatuh k ibu Risma, & anies perlahan dilupakan.;0;0;0
05/01/2021;@SRINGGANlS;@SWARAWATl;Panas banget Jakarta. Mau ke kutub bumi.;1;0;1
05/01/2021;irbahsalss;@kforkinsley;HALO KA BULAAAAAAAN <3 dom jakarta barat nih kak yg tiap hari selalu panas, mau itu ujan aapa engga ttp aja ngerasa gerah xixi. aku mau avoskin Niacinamide 12% + Centella Asiatica dan perintilan nomer 2. ikutan yuk  @sukaskincarean  @glowithelle  @elsakffadillah  @elsamdifa  @yoori__;0;1;1
05/01/2021;arsadhadun;@arsadhadun1;Kok Jakarta jadi heboh dan gerah gara2 ada mentri yang blusukan diwilayahnya....ada apa;0;0;0
05/01/2021;Momogie (she/her);@MaulinaMuzirwan;Tapi masalahnya Jakarta lagi panas dan gerah. Aku juga belakangan hobby masuk angin.;0;0;0
06/01/2021;pancatralala;@pancatralala;Banyak yang gerah. Jakarta itu Indonesia, gambaran yang lengkap kondisi wilayah lainnya. Tenang sajalah. Bu Risma Tulus kok.;0;0;0
07/01/2021;Praeko Subroto;@praekos_eshan;Bu Risma blusukan di Jakarta, kadrun2 pada gerah. Terus maunya apa coba?;0;0;0
07/01/2021;E;@mamiels20;Ini bandung yg tiap malem gerah atau aku doang krn lagi hamil. Perasaan tiap malem jibrug mulu keringetannnn, sepanas kosan tanpa ac di jakarta dulu;0;0;0
07/01/2021;anin on priv;@honeynouva;aku di jakarta, kalo lagi panas banget biasanya langsung ujan;0;0;0
08/01/2021;Yudi;@WahyudiL4;Saya orang Jakarta..Baru tahu kalo Wan Abud Suka akting juga.  Kikiki..pasti terGuguk2 para Pemujanya lihat video ini. Gerah mau buka jubah dulu. Thx sdh share video nya. #AniesJuaraLagi Action;0;1;1
08/01/2021;zzz;@jarjarapalvin;Lg dingin bgt jakarta drtd pake crewneck ga ngerasa gerah;0;0;0
09/01/2021;Janiiii!;@SINAdzany;Jakarta dingin tuh ke manaaa cobaa  Gerah tapi dingin tapi ngesang tapi ngahodhod :';0;1;1
10/01/2021;#PeriSyantik;@PeriSyantik;Bu Risma sudah menyatakan, jika ia tdk bermaksud mengentaskan gelandangan di jakarta, niatnya bukan blusukan, tp tak sengaja menemukan para tunawisma dan rasa kepeduliannya terpanggil, itu mmg sifat Bu Risma Ga usah gerah bela mati2an si  @aniesbaswedan  guoblok yg ga bs kerja;0;0;0
